"Symbole accepté","Synonyme icône","Nom scientifique","Durée de l'accord","Période de croissance active","Couleur du feuillage","pH (minimum)","pH (maximum)","Précipitations (minimum)","Précipitations (maximum)","Tolérance à l'ombre","Température minimum (°F)"
"LAPU12","","Landoltia punctata","Vivace","","","","","","","",""
"LAPOR","","Laportea","","","","","","","","",""
"LACA3","","Laportea canadensis","Vivace","","","","","","","",""
"LAPPU","","Lappula","","","","","","","","",""
"LASQ","","Lappula squarrosa","Annuelle, Biennale","","","","","","","",""
"LAPSA","","Lapsana","","","","","","","","",""
"LACO3","","Lapsana communis","Annuelle","","","","","","","",""
"LARIX","","Larix","","","","","","","","",""
"LADE2","","Larix decidua","Vivace","Printemps et été","Jaune-vert","6.0","7.0","30","80","Intolérant","-38"
"LALA","","Larix laricina","Vivace","Printemps et été","Vert foncé","5.5","6.5","7","55","Intolérant","-79"
"LATHY","","Lathyrus","","","","","","","","",""
"LAAP2","","Lathyrus aphaca","Annuelle","","","","","","","",""
"LAHI2","","Lathyrus hirsutus","Annuelle","Automne, Winter and Printemps","Jaune-vert","5.8","6.2","35","60","Intolérant","17"
"LAIN14","","Lathyrus inconspicuus","Annuelle","","","","","","","",""
"LALA4","","Lathyrus latifolius","Vivace","","","","","","","",""
"LAPA4","","Lathyrus palustris","Vivace","","","","","","","",""
"LASA2","","Lathyrus sativus","Annuelle","","","","","","","",""
"LAVE","","Lathyrus venosus","Vivace","","","","","","","",""
"LECAN4","","Lecanora","","","","","","","","",""
"LECHE","","Lechea","","","","","","","","",""
"LEMA","","Lechea maritima","Vivace","","","","","","","",""
"LEMAM","","Lechea maritima var. maritima","Vivace","","","","","","","",""
"LEMAV","","Lechea maritima var. virginica","Vivace","","","","","","","",""
"LEMI","","Lechea minor","Vivace","","","","","","","",""
"LEMU3","","Lechea mucronata","Vivace","","","","","","","",""
"LEPU4","","Lechea pulchella","Vivace","","","","","","","",""
"LEPUM","","Lechea pulchella var. moniliformis","Vivace","","","","","","","",""
"LEPUP2","","Lechea pulchella var. pulchella","Vivace","","","","","","","",""
"LERA","","Lechea racemulosa","Vivace","","","","","","","",""
"LETE","","Lechea tenuifolia","Vivace","","","","","","","",""
"LEERS","","Leersia","","","","","","","","",""
"LEHE","","Leersia hexandra","Vivace","","","","","","","",""
"LELE2","","Leersia lenticularis","Vivace","Printemps","Vert","5.0","8.0","25","60","Intolérant","-33"
"LEOR","","Leersia oryzoides","Vivace","Été","Vert foncé","5.1","8.8","12","50","Intolérant","-33"
"LEVI2","","Leersia virginica","Vivace","Printemps","Vert","4.5","8.5","15","65","Tolérant","-43"
"LEMNA","","Lemna","","","","","","","","",""
"LEMI3","","Lemna minor","Vivace","Été","Vert","4.1","8.8","","","Intolérant","-38"
"LEOB2","","Lemna obscura","Vivace","","","","","","","",""
"LEPE","","Lemna perpusilla","Vivace","","","","","","","",""
"LETR","","Lemna trisulca","Vivace","Été","Vert","5.7","7.0","","","Intolérant","-38"
"LEVA","","Lemna valdiviana","Vivace","Été et automne","Vert","5.7","7.0","","","Intolérant","-33"
"LENS","","Lens","","","","","","","","",""
"LECU2","","Lens culinaris","Annuelle","","","","","","","",""
"LEONT","","Leontodon","","","","","","","","",""
"LEAU2","","Leontodon autumnalis","Vivace","","","","","","","",""
"LEAUA","","Leontodon autumnalis ssp. autumnalis","Vivace","","","","","","","",""
"LEAUP2","","Leontodon autumnalis ssp. pratensis","Vivace","","","","","","","",""
"LEHI","","Leontodon hispidus","Vivace","","","","","","","",""
"LEHIH","","Leontodon hispidus ssp. hispidus","Vivace","","","","","","","",""
"LETA","","Leontodon taraxacoides","Annuelle, Biennale, Vivace","","","","","","","",""
"LETAT","","Leontodon taraxacoides ssp. taraxacoides","Biennale, Vivace","","","","","","","",""
"LEONU","","Leonurus","","","","","","","","",""
"LECA2","","Leonurus cardiaca","Vivace","","","","","","","",""
"LECAC7","","Leonurus cardiaca ssp. cardiaca","Vivace","","","","","","","",""
"LEPID","","Lepidium","","","","","","","","",""
"LECA5","","Lepidium campestre","Annuelle, Biennale","","","","","","","",""
"LEDE","","Lepidium densiflorum","Annuelle, Biennale","","","","","","","",""
"LEGR5","","Lepidium graminifolium","Annuelle","","","","","","","",""
"LEHY2","","Lepidium hyssopifolium","Vivace","","","","","","","",""
"LEPE2","","Lepidium perfoliatum","Annuelle, Biennale","","","","","","","",""
"LERU","","Lepidium ruderale","Annuelle, Biennale","","","","","","","",""
"LEVI3","","Lepidium virginicum","Annuelle, Biennale, Vivace","","","","","","","",""
"LEVIV2","","Lepidium virginicum var. virginicum","Annuelle, Biennale, Vivace","","","","","","","",""
"LEPTO","","Leptochloa","","","","","","","","",""
"LEDU","","Leptochloa dubia","Vivace","Printemps et été","Vert","6.0","8.0","12","24","Intolérant","-13"
"LEFU21","","Leptochloa fusca","Annuelle, Vivace","","","","","","","",""
"LEFUF","","Leptochloa fusca ssp. fascicularis","Annuelle","Printemps","Vert","4.0","7.5","15","65","Intolérant","-43"
"LESPE","","Lespedeza","","","","","","","","",""
"LEAN","","Lespedeza angustifolia","Vivace","","","","","","","",""
"LEBI2","","Lespedeza bicolor","Vivace","","","","","","","",""
"LEBR2","","Lespedeza ×brittonii","Vivace","","","","","","","",""
"LECA8","","Lespedeza capitata","Vivace","Été","Vert","5.7","8.2","19","45","Intolérant","-28"
"LECU","","Lespedeza cuneata","Vivace","","","","","","","",""
"LEFR5","","Lespedeza frutescens","Vivace","","","","","","","",""
"LEHI2","","Lespedeza hirta","Vivace","Été","Vert foncé","5.8","6.9","30","60","Intolérant","-13"
"LEHIH2","","Lespedeza hirta ssp. hirta","Vivace","","","","","","","",""
"LENU","","Lespedeza ×nuttallii","Vivace","","","","","","","",""
"LEOB3","","Lespedeza ×oblongifolia","Vivace","","","","","","","",""
"LEPR","","Lespedeza procumbens","Vivace","","","","","","","",""
"LERE2","","Lespedeza repens","Vivace","","","","","","","",""
"LEST5","","Lespedeza stuevei","Vivace","","","","","","","",""
"LETH4","","Lespedeza thunbergii","Vivace","","","","","","","",""
"LEVI6","","Lespedeza violacea","Vivace","","","","","","","",""
"LEVI7","","Lespedeza virginica","Vivace","","","","","","","",""
"LEUCA4","","Leucanthemum","","","","","","","","",""
"LEVU","","Leucanthemum vulgare","Vivace","Printemps et été","Vert","5.2","7.0","30","50","Intermédiaire","-28"
"LEUCO2","","Leucojum","","","","","","","","",""
"LEAE","","Leucojum aestivum","Vivace","","","","","","","",""
"LEAEA","","Leucojum aestivum ssp. aestivum","Vivace","","","","","","","",""
"LEUCO5","","Leucothoe","","","","","","","","",""
"LEFO","","Leucothoe fontanesiana","Vivace","","","","","","","",""
"LIATR","","Liatris","","","","","","","","",""
"LIPI7","","Liatris pilosa","Vivace","","","","","","","",""
"LISC2","","Liatris scariosa","Vivace","","","","","","","",""
"LISCS3","","Liatris scariosa var. scariosa","Vivace","","","","","","","",""
"LISP","","Liatris spicata","Vivace","Été","Vert","5.6","7.5","35","60","Intermédiaire","-18"
"LISPS","","Liatris spicata var. spicata","Vivace","","","","","","","",""
"LISQ","","Liatris squarrosa","Vivace","","","","","","","",""
"LISQS","","Liatris squarrosa var. squarrosa","Vivace","","","","","","","",""
"LITU3","","Liatris turgida","Vivace","","","","","","","",""
"LIVI8","","Liatris virgata","Vivace","","","","","","","",""
"LIGUL","","Ligularia","","","","","","","","",""
"LIDE8","","Ligularia dentata","Vivace","","","","","","","",""
"LIGUS","","Ligusticum","","","","","","","","",""
"LICA16","","Ligusticum canadense","Vivace","","","","","","","",""
"LIGUS2","","Ligustrum","","","","","","","","",""
"LIAM","","Ligustrum amurense","Vivace","Printemps","Vert","5.8","7.5","34","70","Intermédiaire","-38"
"LIJA","","Ligustrum japonicum","Vivace","Printemps et été","Vert foncé","5.5","6.9","30","80","Tolérant","-13"
"LILU2","","Ligustrum lucidum","Vivace","","","","","","","",""
"LIOB","","Ligustrum obtusifolium","Vivace","","","","","","","",""
"LIOV","","Ligustrum ovalifolium","Vivace","Printemps et été","Vert","5.9","7.7","34","70","Intolérant","-3"
"LIQU2","","Ligustrum quihoui","Vivace","","","","","","","",""
"LISI","","Ligustrum sinense","Vivace","","","","","","","",""
"LIVU","","Ligustrum vulgare","Vivace","Printemps et été","Vert","5.0","7.5","18","50","Intermédiaire","-38"
"LILAE2","","Lilaeopsis","","","","","","","","",""
"LICH","","Lilaeopsis chinensis","Vivace","","","","","","","",""
"LILIU","","Lilium","","","","","","","","",""
"LICA3","","Lilium canadense","Vivace","","","","","","","",""
"LICAC","","Lilium canadense ssp. canadense","Vivace","","","","","","","",""
"LICAE","","Lilium canadense ssp. editorum","Vivace","","","","","","","",""
"LILA8","","Lilium lancifolium","Vivace","","","","","","","",""
"LIPH","","Lilium philadelphicum","Vivace","","","","","","","",""
"LIPHP","","Lilium philadelphicum var. philadelphicum","Vivace","","","","","","","",""
"LISU","","Lilium superbum","Vivace","","","","","","","",""
"LIMNO","","Limnobium","","","","","","","","",""
"LISP2","","Limnobium spongia","Vivace","Printemps","Vert","5.0","5.9","35","60","Intolérant","-24"
"LIMON","","Limonium","","","","","","","","",""
"LICA17","","Limonium carolinianum","Vivace","Printemps","Vert","6.0","8.5","40","55","Intolérant","-8"
"LIMOS","","Limosella","","","","","","","","",""
"LIAU6","","Limosella australis","Annuelle","","","","","","","",""
"LINAN2","","Linanthus","","","","","","","","",""
"LIPU11","","Linanthus pungens","Vivace","","","","","","","",""
"LINAR","","Linaria","","","","","","","","",""
"LIVU2","","Linaria vulgaris","Vivace","","","","","","","",""
"LINDE2","","Lindera","","","","","","","","",""
"LIBE3","","Lindera benzoin","Vivace","Printemps et été","Vert","4.5","6.0","32","50","Intermédiaire","-23"
"LIBEB","","Lindera benzoin var. benzoin","Vivace","","","","","","","",""
"LIBEP","","Lindera benzoin var. pubescens","Vivace","","","","","","","",""
"LINDE","","Lindernia","","","","","","","","",""
"LIDU","","Lindernia dubia","Annuelle, Biennale","","","","","","","",""
"LIDUA","","Lindernia dubia var. anagallidea","Annuelle, Biennale","","","","","","","",""
"LIDUD","","Lindernia dubia var. dubia","Annuelle, Biennale","","","","","","","",""
"LINNA","","Linnaea","","","","","","","","",""
"LIBO3","","Linnaea borealis","Vivace","","","","","","","",""
"LIBOA","","Linnaea borealis ssp. americana","Vivace","","","","","","","",""
"LINUM","","Linum","","","","","","","","",""
"LIFL","","Linum floridanum","Vivace","","","","","","","",""
"LIFLF2","","Linum floridanum var. floridanum","Vivace","","","","","","","",""
"LIIN","","Linum intercursum","Vivace","","","","","","","",""
"LIME2","","Linum medium","Annuelle, Vivace","","","","","","","",""
"LIMET","","Linum medium var. texanum","Annuelle, Vivace","","","","","","","",""
"LIST","","Linum striatum","Vivace","Printemps","Vert","5.0","8.0","21","60","Tolérant","-43"
"LISU4","","Linum sulcatum","Annuelle","","","","","","","",""
"LISUS","","Linum sulcatum var. sulcatum","Annuelle","","","","","","","",""
"LIUS","","Linum usitatissimum","Annuelle","","","","","","","",""
"LIVI","","Linum virginianum","Vivace","","","","","","","",""
"LIPAR","","Liparis","","","","","","","","",""
"LILI3","","Liparis liliifolia","Vivace","","","","","","","",""
"LILO","","Liparis loeselii","Vivace","","","","","","","",""
"LIPOC","","Lipocarpha","","","","","","","","",""
"LIMI12","","Lipocarpha micrantha","Annuelle","","","","","","","",""
"LIQUI","","Liquidambar","","","","","","","","",""
"LIST2","","Liquidambar styraciflua","Vivace","Printemps et été","Vert","4.5","7.0","40","60","Intolérant","-21"
"LIRIO","","Liriodendron","","","","","","","","",""
"LITU","","Liriodendron tulipifera","Vivace","Printemps et été","Vert","4.5","6.5","30","80","Intolérant","-18"
"LIRIO2","","Liriope","","","","","","","","",""
"LIMU6","","Liriope muscari","Vivace","Printemps et été","Vert","5.0","8.0","26","60","Tolérant","-23"
"LISP10","","Liriope spicata","Vivace","","","","","","","",""
"LISTE","","Listera","","","","","","","","",""
"LIAU3","","Listera australis","Vivace","","","","","","","",""
"LICO6","","Listera cordata","Vivace","","","","","","","",""
"LICOC2","","Listera cordata var. cordata","Vivace","","","","","","","",""
"LISM","","Listera smallii","Vivace","","","","","","","",""
"LITHO3","","Lithospermum","","","","","","","","",""
"LICA12","","Lithospermum canescens","Vivace","","","","","","","",""
"LILA2","","Lithospermum latifolium","Vivace","","","","","","","",""
"LITSE","","Litsea","","","","","","","","",""
"LIAE","","Litsea aestivalis","Vivace","","","","","","","",""
"LOBEL","","Lobelia","","","","","","","","",""
"LOCA","","Lobelia canbyi","Vivace","","","","","","","",""
"LOCA2","","Lobelia cardinalis","Vivace","Printemps","Vert","5.8","7.8","28","60","Tolérant","-34"
"LODO","","Lobelia dortmanna","Vivace","","","","","","","",""
"LOEL","","Lobelia elongata","Vivace","","","","","","","",""
"LOGL","","Lobelia glandulosa","Vivace","","","","","","","",""
"LOIN","","Lobelia inflata","Annuelle","","","","","","","",""
"LONU","","Lobelia nuttallii","Vivace","","","","","","","",""
"LOPU","","Lobelia puberula","Vivace","","","","","","","",""
"LOPUP2","","Lobelia puberula var. puberula","Vivace","","","","","","","",""
"LOPUS","","Lobelia puberula var. simulans","Vivace","","","","","","","",""
"LOSI","","Lobelia siphilitica","Vivace","","","","","","","",""
"LOSIS2","","Lobelia siphilitica var. siphilitica","Vivace","","","","","","","",""
"LOSP","","Lobelia spicata","Vivace","","","","","","","",""
"LOSPC","","Lobelia spicata var. campanulata","Vivace","","","","","","","",""
"LOSPS","","Lobelia spicata var. scaposa","Vivace","","","","","","","",""
"LOSPS4","","Lobelia spicata var. spicata","Vivace","","","","","","","",""
"LOBUL","","Lobularia","","","","","","","","",""
"LOMA","","Lobularia maritima","Annuelle, Vivace","","","","","","","",""
"LOLIU","","Lolium","","","","","","","","",""
"LOPE","","Lolium perenne","Vivace, Annuelle","Printemps et automne","Vert","5.0","8.0","30","65","Intolérant","-18"
"LOPEM2","","Lolium perenne ssp. multiflorum","Annuelle, Vivace","Printemps et été","Vert","5.0","7.9","18","65","Intermédiaire","-8"
"LOPEP","","Lolium perenne ssp. perenne","Vivace","","","","","","","",""
"LOTE2","","Lolium temulentum","Annuelle","","","","","","","",""
"LOTET","","Lolium temulentum ssp. temulentum","Annuelle","","","","","","","",""
"LONIC","","Lonicera","","","","","","","","",""
"LOBE","","Lonicera ×bella","Vivace","","","","","","","",""
"LOCA7","","Lonicera canadensis","Vivace","","","","","","","",""
"LODI2","","Lonicera dioica","Vivace","","","","","","","",""
"LOFR","","Lonicera fragrantissima","Vivace","","","","","","","",""
"LOJA","","Lonicera japonica","Vivace","Printemps et été","Vert","4.9","7.8","24","60","Tolérant","-13"
"LOMA6","","Lonicera maackii","Vivace","Printemps et été","Vert","5.5","8.0","25","60","Intolérant","-33"
"LOMO2","","Lonicera morrowii","Vivace","","","","","","","",""
"LOSE","","Lonicera sempervirens","Vivace","Printemps","Vert","6.0","8.5","22","60","Tolérant","-33"
"LOST2","","Lonicera standishii","Vivace","","","","","","","",""
"LOTA","","Lonicera tatarica","Vivace","Printemps et été","Vert","5.2","7.5","32","50","Intermédiaire","-38"
"LOXY","","Lonicera xylosteum","Vivace","","","","","","","",""
"LOTUS","","Lotus","","","","","","","","",""
"LOCO6","","Lotus corniculatus","Vivace","Printemps et été","Vert","5.0","8.0","16","65","Intolérant","-43"
"LOCOC5","","Lotus corniculatus var. corniculatus","Vivace","","","","","","","",""
"LOGL10","","Lotus glaber","Vivace","","","","","","","",""
"LUDWI","","Ludwigia","","","","","","","","",""
"LUAL2","","Ludwigia alternifolia","Vivace","","","","","","","",""
"LUBR","","Ludwigia brevipes","Vivace","","","","","","","",""
"LUDE4","","Ludwigia decurrens","Annuelle, Vivace","Été","Vert","4.0","6.0","28","55","Tolérant","7"
"LUGL","","Ludwigia glandulosa","Vivace","","","","","","","",""
"LUGLG2","","Ludwigia glandulosa ssp. glandulosa","Vivace","","","","","","","",""
"LUHI","","Ludwigia hirtella","Vivace","","","","","","","",""
"LULE4","","Ludwigia leptocarpa","Annuelle, Vivace","","","","","","","",""
"LULI","","Ludwigia linearis","Vivace","","","","","","","",""
